itemnumber,itemtext,nbackInstruction,condsFile,square,loc1,loc2,corrAns,trialsNum,trialNum,wakeup.thisRepN,wakeup.thisTrialN,wakeup.thisN,wakeup.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,nb_taskloop.thisRepN,nb_taskloop.thisTrialN,nb_taskloop.thisN,nb_taskloop.thisIndex,nb_trials.thisRepN,nb_trials.thisTrialN,nb_trials.thisN,nb_trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,h_eoec.started,h_eoec.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,img_whte.started,img_whte.stopped,img_black.started,img_black.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,h_arsq.started,h_arsq.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,key_resp_9.keys,key_resp_9.started,key_resp_9.stopped,instrText.started,instrText.stopped,h_nback.started,h_nback.stopped,instrImg.started,instrImg.stopped,trialResp.keys,trialResp.started,trialResp.stopped,trialSquare.started,trialSquare.stopped,trialFix.started,trialFix.stopped,gridLine1.started,gridLine1.stopped,gridLine2.started,gridLine2.stopped,gridLine3.started,gridLine3.stopped,gridLine4.started,gridLine4.stopped,gridLine5.started,gridLine5.stopped,gridLine6.started,gridLine6.stopped,gridLine7.started,gridLine7.stopped,gridLine8.started,gridLine8.stopped,trialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,I thought about the future,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
24,I felt pain,,,,,,,,,,,,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
3,I had difficulty holding on to my thoughts,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
19,I was conscious of my body,,,,,,,,,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
14,I felt sleepy,,,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
27,I pictured places,,,,,,,,,,,,,0,8,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
22,I felt ill,,,,,,,,,,,,,0,9,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
10,I thought about things I need to do,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
7,I thought about my feelings,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
11,I thought about solving problems,,,,,,,,,,,,,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1114,new_task_ARSQ,2021.2.3,59.970926694422154,
